id,Cijena,Stanje,Lokacija,Adresa,Kvadrata,Broj soba,Sprat,Vrsta grijanja,Vrsta poda,OLX ID,Broj pregleda,Godina izgradnje,Balkon,Kvadratura balkona,Lift,Parking,Garaža,Klima,Novogradnja,Alarm
33920370,172.000,Korišteno,"Sarajevo, Novi Grad","Vojničko polje, ul. Hasana Sućeske",105.0,4,7,Centralno (gradsko),Parket,33920370,7148,1980-1989,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33946200,235.000,Korišteno,Sarajevo - Centar,Asima Ferhatovica,124.0,5,2,Centralno (gradsko),Parket,33946200,11367,1980-1989,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33951273,115.000,Korišteno,Ilidža,Pijačna,57.0,3,2,Centralno (Plin),Parket,33951273,7367,2010-2020,Da,2,Da,Da,Nije uneseno,Nije uneseno,True,Nije uneseno
33975414,Po dogovoru,Korišteno,Sarajevo - Centar,Skenderpašina,125.0,4,3,Ostalo,Parket,33975414,11068,2010-2019,Da,Ni.e uneseno,Da,Da,Da,Da,True,Da
33981480,Po dogovoru,Korišteno,Sarajevo - Centar,Marcela Šnajdera,186.0,5,2,Centralno (gradsko),Parket,33981480,4517,Nije uneseno,Da,10,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33996261,Po dogovoru,Korišteno,Sarajevo - Centar,Herceg Stjepana,110.0,3,3,Centralno (Plin),Parket,33996261,3382,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
34006621,134.000,Korišteno,"Sarajevo, Novi Grad",Muftije Džabića br.3,63.0,3,2,Centralno (gradsko),Parket,34006621,2167,1970-1979,Da,6,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34019168,135.000,Korišteno,Ilidža,Nije uneseno,61.0,2,1,Plin,Parket,34019168,2108,1970-1979,Da,5,Nije uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno
34019248,140.000,Korišteno,"Sarajevo, Novi Grad",Nije uneseno,67.0,3,2,Centralno (Kotlovnica),Nije uneseno,34019248,3772,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34022433,249.999,Korišteno,Sarajevo - Centar,Nije uneseno,98.0,4,4,Plin,Parket,34022433,7769,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno
34033473,180.000,Korišteno,Sarajevo - Centar,Antuna Hangija,76.0,3,3,Plin,Parket,34033473,6776,1980-1989,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34048308,Po dogovoru,Korišteno,Novo Sarajevo,Nije uneseno,98.0,4,1,Centralno (Plin),Nije uneseno,34048308,6270,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Da
34055932,Po dogovoru,Korišteno,Busovača,Nije uneseno,40.0,1,1,Drva,Nije uneseno,34055932,2912,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34080095,300.000,Korišteno,Sarajevo - Centar,Marsela Šnajdera,186.0,5,2,Centralno (gradsko),Parket,34080095,6275,1970-1979,Da,10,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34109657,Po dogovoru,Korišteno,Sarajevo - Centar,Drinska,40.0,1,Visoko prizemlje,Struja,Parket,34109657,13785,1960-1969,Da,4,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34125733,179.000,Korišteno,Stari Grad,Sime Milutinovića Sarajlije,69.0,3,5,Centralno (Plin),Nije uneseno,34125733,3559,1980-1989,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34130216,237.600,Novo,Sarajevo - Centar,Josipa Vancasa,72.0,2,4,Plin,Parket,34130216,3587,Nije uneseno,Da,12,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
34131797,91.044,Novo,Ilidža,Latićka,41.0,2,1,Centralno (Plin),Parket,34131797,9277,2010-2019,Da,Ni.e uneseno,Da,Nije uneseno,Da,Nije uneseno,True,Nije uneseno
34133800,265.000,Korišteno,Sarajevo - Centar,Muamera Omerbegovića,75.0,4,Visoko prizemlje,Centralno (Plin),Parket,34133800,6712,2010-2019,Nije uneseno,Ni.e uneseno,Da,Da,Da,Da,Nije uneseno,Nije uneseno
34160836,398.000,Korišteno,Sarajevo - Centar,Ciglane,105.0,4,Nije uneseno,Centralno (gradsko),Parket,34160836,4585,1980-1989,Nije uneseno,Basta 55m2,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Da
34161626,398.000,Korišteno,Sarajevo - Centar,Cumurija,74.0,2,2,Plin,Parket,34161626,2118,Prije 1950,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
34173169,Po dogovoru,Korišteno,Stari Grad,Josipa Stadlera,118.0,5,2,Plin,Parket,34173169,5315,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Da
34183153,150.000,Korišteno,"Sarajevo, Novi Grad",Salke Lagumdžije,53.0,2,3,Centralno (gradsko),Parket,34183153,8547,1980-1989,Da,5,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34195614,Po dogovoru,Korišteno,Ilidža,Stupska,67.0,3,13,Centralno (gradsko),Nije uneseno,34195614,1518,Nije uneseno,Da,4,Da,Da,Nije uneseno,Da,True,Nije uneseno
34204180,Po dogovoru,Korišteno,Sarajevo - Centar,Maršala Tita,89.0,3,2,Centralno (Plin),Laminat,34204180,3052,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34204882,Po dogovoru,Korišteno,Sarajevo - Centar,Marsala Tita,91.0,3,3,Centralno (Plin),Nije uneseno,34204882,2342,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34213638,110.000,Korišteno,"Sarajevo, Novi Grad",Petra Tješića,90.0,4,5,Ostalo,Nije uneseno,34213638,14647,Nije uneseno,Da,5,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34229318,199.000,Korišteno,Sarajevo - Centar,Alipašina 21,54.0,2,3,Centralno (gradsko),Nije uneseno,34229318,1060,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34240979,270.000,Korišteno,Sarajevo - Centar,Tina Ujevića,80.0,3,Visoko prizemlje,Centralno (Plin),Laminat,34240979,4093,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34243636,215.000,Korišteno,Stari Grad,Mula Mustafe Bašeskije,58.0,2,2,Centralno (Plin),Parket,34243636,3003,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
34249324,320.000,Korišteno,Sarajevo - Centar,Čobanija br.43,285.0,3,1,Plin,Parket,34249324,6138,1980-1989,Da,85,Nije uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno
34253940,230.000,Korišteno,Sarajevo - Centar,Muhameda Hadžijahića,141.0,5,5,Centralno (Plin),Nije uneseno,34253940,1778,2000-2009,Da,5,Nije uneseno,Da,Nije uneseno,Nije uneseno,True,Nije uneseno
