id,Cijena,Stanje,Lokacija,Adresa,Kvadrata,Broj soba,Sprat,Vrsta grijanja,Vrsta poda,OLX ID,Broj pregleda,Godina izgradnje,Balkon,Kvadratura balkona,Lift,Parking,Garaža,Klima,Novogradnja,Alarm,x,y,Point
39715840,65.000,Korišteno,Novo Sarajevo,Dobojska,36.0,1,Prizemlje,Ostalo,Nije uneseno,39715840,5119,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.84623397802459,18.394702338375858,"(43.84623397802459, 18.394702338375858)"
39716141,54.000,Korišteno,Ilidža,Pijačna,26.0,1,5,Centralno (Plin),Ostalo,39716141,7916,2010-2020,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.83987279503,18.313450683698,"(43.83987279503, 18.313450683698)"
39731376,363.600,Novo,Sarajevo - Centar,Tepebašina,101.0,4,1,Ostalo,Parket,39731376,2578,2010-2019,Da,5,Nije uneseno,Da,Da,Nije uneseno,True,Da,43.859871366918476,18.410029310559082,"(43.859871366918476, 18.410029310559082)"
39743587,371.000,Korišteno,Sarajevo - Centar,Kranjceviceva,96.0,4,3,Centralno (gradsko),Parket,39743587,1801,Nije uneseno,Da,4,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,Da,43.85816944831756,18.40305556712036,"(43.85816944831756, 18.40305556712036)"
39744220,118.000,Korišteno,Ilidža,Džemala Bijedića,51.33,2,4,Centralno (Kotlovnica),Parket,39744220,312,2010-2019,Da,Ni.e uneseno,Da,Da,Nije uneseno,Da,True,Nije uneseno,43.840205548636,18.32166897211914,"(43.840205548636, 18.32166897211914)"
39745574,131.000,Korišteno,Novo Sarajevo,Radnička,60.0,3,3,Plin,Nije uneseno,39745574,4179,Nije uneseno,Nije uneseno,"3,5",Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.84887632780268,18.400292061962894,"(43.84887632780268, 18.400292061962894)"
39745751,470.000,Korišteno,Sarajevo - Centar,Ismeta Mujezinovića,144.0,5,2,Centralno (Plin),Parket,39745751,1318,2000-2009,Da,16,Nije uneseno,Da,Da,Da,Nije uneseno,Nije uneseno,43.86979181170542,18.41709961352234,"(43.86979181170542, 18.41709961352234)"
39751369,Po dogovoru,Korišteno,Sarajevo - Centar,Ismeta Mujezinovića,54.0,2,5,Struja,Laminat,39751369,5193,1980-1989,Da,2,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.872843031708,18.421487707471,"(43.872843031708, 18.421487707471)"
39753132,110.000,Korišteno,"Sarajevo, Novi Grad",omladinskih radnih brigada,47.0,1,6,Centralno (gradsko),Laminat,39753132,2069,1980-1989,Da,3kv,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.828659718635,18.34956753999,"(43.828659718635, 18.34956753999)"
39753440,117.000,Korišteno,"Sarajevo, Novi Grad",ul. Munira Gavrankapetanovića 106,52.11,3,3,Plin,Laminat,39753440,3194,2010-2020,Nije uneseno,Ni.e uneseno,Da,Da,Da,Nije uneseno,True,Nije uneseno,43.83802913797,18.330575153232,"(43.83802913797, 18.330575153232)"
39755775,77.000,Korišteno,Brčko,Nije uneseno,64.0,2,Prizemlje,Struja,Nije uneseno,39755775,130,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.858177930633,18.412219941139,"(43.858177930633, 18.412219941139)"
39756197,260.000,Korišteno,Stari Grad,Bistrik,73.0,3,2,Centralno (Plin),Parket,39756197,680,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.85591697921274,18.429901069311512,"(43.85591697921274, 18.429901069311512)"
39759364,170.000,Korišteno,Sarajevo - Centar,Nusreta Šišića Dede,83.0,3,Visoko prizemlje,Centralno (Plin),Nije uneseno,39759364,1953,1980-1989,Da,10,Nije uneseno,Da,Da,Da,Nije uneseno,Nije uneseno,43.867832993091,18.404388625001,"(43.867832993091, 18.404388625001)"
39759756,133.500,Korišteno,Ilidža,12. Mart,60.0,2,2,Centralno (Plin),Nije uneseno,39759756,868,Nije uneseno,Da,6,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.83269105571205,18.300425876721192,"(43.83269105571205, 18.300425876721192)"
39760541,Po dogovoru,Korišteno,Stari Grad,Logavina 4,64.0,3,Visoko prizemlje,Plin,Nije uneseno,39760541,2314,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.86024865879741,18.428189791738983,"(43.86024865879741, 18.428189791738983)"
39761159,187.000,Korišteno,Stari Grad,ul. Huremuša,110.0,4,2,Centralno (Plin),Parket,39761159,1122,1990-1999,Da,10,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.85265213060848,18.433613246588124,"(43.85265213060848, 18.433613246588124)"
39761217,420.000,Korišteno,Sarajevo - Centar,Podgaj,113.55,4,2,Centralno (Plin),Parket,39761217,1386,2000-2009,Nije uneseno,Ni.e uneseno,Da,Da,Da,Da,True,Da,43.85402275236717,18.41633786616211,"(43.85402275236717, 18.41633786616211)"
39761408,259.900,Korišteno,Stari Grad,Bistrik,72.0,3,2,Centralno (Plin),Parket,39761408,915,Nije uneseno,Da,6,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85580866956631,18.430550163893116,"(43.85580866956631, 18.430550163893116)"
39762807,Po dogovoru,Korišteno,Sarajevo - Centar,Nije uneseno,32.0,1,Visoko prizemlje,Centralno (Plin),Nije uneseno,39762807,788,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85660835415399,18.425148501992222,"(43.85660835415399, 18.425148501992222)"
39762855,154.500,Korišteno,"Sarajevo, Novi Grad",Nerkeza Smailagica,78.0,4,2,Centralno (gradsko),Laminat,39762855,684,1980-1989,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.843097327514,18.344639501883,"(43.843097327514, 18.344639501883)"
39765906,163.000,Korišteno,Novo Sarajevo,Kolodvorska,83.0,3,5,Centralno (gradsko),Parket,39765906,4112,1960-1969,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85381252709605,18.386301659741214,"(43.85381252709605, 18.386301659741214)"
39766485,130.000,Korišteno,Novo Sarajevo,Porodice Ribara,58.0,3,4,Centralno (gradsko),Parket,39766485,2841,1970-1979,Da,6m2,Nije uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,43.847212836759,18.381693027914,"(43.847212836759, 18.381693027914)"
39768286,123.000,Korišteno,Ilidža,Dr. Silve Rizvanbegovic,74.0,3,4,Centralno (gradsko),Nije uneseno,39768286,424,2010-2020,Da,3,Da,Da,Nije uneseno,Da,True,Nije uneseno,43.842628660384,18.332659900188,"(43.842628660384, 18.332659900188)"
39768705,Po dogovoru,Korišteno,Stari Grad,Telali,112.0,4,3,Plin,Parket,39768705,1332,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Da,Da,Nije uneseno,Da,43.859616795950814,18.433932429460896,"(43.859616795950814, 18.433932429460896)"
39770128,130.000,Korišteno,Novo Sarajevo,Porodice ribar,58.0,2,4,Centralno (gradsko),Parket,39770128,2175,1980-1989,Da,4,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.847607395519,18.383061551251,"(43.847607395519, 18.383061551251)"
39770184,165.000,Novo,Sarajevo - Centar,Hasana Kikića,56.0,2,4,Struja,Parket,39770184,2262,2010-2020,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.860018348518736,18.413194317196655,"(43.860018348518736, 18.413194317196655)"
39770482,Po dogovoru,Korišteno,Ilidža,Stupska,88.0,3,4,Centralno (Plin),Parket,39770482,508,2010-2020,Nije uneseno,Ni.e uneseno,Da,Da,Da,Da,True,Nije uneseno,43.840170725671165,18.32395421419983,"(43.840170725671165, 18.32395421419983)"
39770552,Po dogovoru,Novo,Stari Grad,500688,74.0,2,1,Centralno (Plin),Parket,39770552,824,2010-2019,Da,7.8,Nije uneseno,Da,Da,Da,True,Da,43.86315780646344,18.427562183050526,"(43.86315780646344, 18.427562183050526)"
39771282,169.000,Korišteno,Novo Sarajevo,Zmaja od Bosne,83.0,3,5,Centralno (gradsko),Laminat,39771282,2313,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85331737820477,18.387202881970218,"(43.85331737820477, 18.387202881970218)"
39771793,235.000,Korišteno,Novo Sarajevo,Zmaja od Bosne,72.0,3,1,Centralno (gradsko),Parket,39771793,3600,Nije uneseno,Da,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85401368015881,18.390593194165042,"(43.85401368015881, 18.390593194165042)"
39772171,131.353,Novo,Ilidža,Džemala Bijedića 279,57.11,2,5,Centralno (Kotlovnica),Parket,39772171,1006,2010-2019,Da,Ni.e uneseno,Da,Da,Nije uneseno,Da,True,Nije uneseno,43.83995017975541,18.32269894038086,"(43.83995017975541, 18.32269894038086)"
39772212,220.000,Korišteno,Stari Grad,Za Beglukom,100.0,4,2,Centralno (Plin),Nije uneseno,39772212,968,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85543732071394,18.428077167181385,"(43.85543732071394, 18.428077167181385)"
39772651,97.500,Korišteno,"Sarajevo, Novi Grad",Želimira Vidovića Kelija,53.0,2,Suteren,Centralno (Kotlovnica),Parket,39772651,4398,2010-2019,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.83132657835643,18.353426418615708,"(43.83132657835643, 18.353426418615708)"
39773059,256.461,Novo,"Sarajevo, Novi Grad",Adema Buće,104.0,4,6,Centralno (Plin),Nije uneseno,39773059,202,2010-2019,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.855035958175996,18.36634393723143,"(43.855035958175996, 18.36634393723143)"
39773238,152.791,Novo,"Sarajevo, Novi Grad",Adema Buće,61.0,3,2,Centralno (Plin),Nije uneseno,39773238,226,2010-2019,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85621189619034,18.365914783789048,"(43.85621189619034, 18.365914783789048)"
